"","","","","","","","","","Normalized abundance","","","","","","","","","","","","Raw abundance","","","","","","","","","","","","Spectral counts","","","","","","","","","","","",
"","","","","","","","","","Condition 1","","","Condition 2","","","Condition 3","","","Condition 4","","","Condition 1","","","Condition 2","","","Condition 3","","","Condition 4","","","Condition 1","","","Condition 2","","","Condition 3","","","Condition 4","","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)*","Max fold change","Highest mean condition","Lowest mean condition","Description","A11-05004","A11-05005","A11-05006","A11-05008","A11-05009","A11-05010","A11-05012","A11-05013","A11-05014","A11-05016","A11-05017","A11-05018","A11-05004","A11-05005","A11-05006","A11-05008","A11-05009","A11-05010","A11-05012","A11-05013","A11-05014","A11-05016","A11-05017","A11-05018","A11-05004","A11-05005","A11-05006","A11-05008","A11-05009","A11-05010","A11-05012","A11-05013","A11-05014","A11-05016","A11-05017","A11-05018",
"FAS_HUMAN","104","96","6914.95","0.643633553317446","1.0694331421572","Condition 1","Condition 3","Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3","229899897.84119","195507391.290482","225219796.437648","214772207.420693","210764766.915368","208469915.754368","204337344.4799","207159068.563524","196888590.115272","229491933.719102","199316673.540913","201597777.555265","202423195.363664","127880231.089285","195015465.910758","247198081.857293","205358979.71177","234957276.643285","204337344.4799","203924990.042432","107078108.56857","235349790.389029","131397912.063211","155293478.037058","80","72","82","84","92","83","96","82","77","88","84","88",
"SPTA2_HUMAN","98","85","6618.77","0.534187007956719","1.03391628465285","Condition 2","Condition 3","Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1 PE=1 SV=3","85845800.6302814","85638533.9672499","89135687.3565639","88020760.5499543","87587892.3865519","86707649.3920035","84868180.607655","87688291.0307473","81154884.1282657","91190718.6303786","85100952.2182601","85203302.6891316","75585859.0426057","56015659.7742535","77181659.3126548","101309957.339817","85341399.6981249","97724379.5180987","84868180.607655","86319339.0435605","44136186.2994116","93518391.5498905","56102117.4868","65633249.4102631","66","53","64","73","60","73","66","67","54","58","67","64",
"SPTB2_HUMAN","88","74","5333.52","0.537745290007782","1.08307190900838","Condition 1","Condition 3","Spectrin beta chain, brain 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2","72521258.4619643","63332686.8431116","65369249.9383982","61867133.3638407","66081210.0546704","60842719.4078904","64868020.314631","65953063.818676","54968237.4895814","66797082.2329733","59878904.6371711","60764208.8146624","63853812.0613069","41425536.7817223","56602549.7518946","71207708.3027514","64386330.1895966","68573154.0875819","64868020.314631","64923432.8757721","29894545.4294041","68502099.6048213","39474685.7158509","46807486.8752566","59","50","51","51","58","51","51","51","50","48","54","54",
"CLH1_HUMAN","88","83","6685.74","0.626488168443471","1.10015687668977","Condition 4","Condition 3","Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5","262354591.507263","226286269.339566","238728520.858798","238879768.132178","227765753.699739","244399163.896484","226266890.250806","237748466.93856","224666824.489581","294848243.426421","229876593.791713","232933600.809672","230999035.797371","148012513.616331","206712529.084244","274945353.432633","221923917.728823","275451552.590799","226266890.250806","234036839.850834","122185336.440098","302374341.278234","151544293.409221","179431883.922992","88","70","82","78","81","82","83","85","83","80","81","84",
"EPIPL_HUMAN","84","73","5488.03","0.327705475126896","1.11744572567627","Condition 1","Condition 3","Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=1","131148490.675224","125551603.729643","119875133.469976","112317105.189701","109181193.990087","118474124.028609","109524790.693112","115361387.101831","112110259.009128","138331689.08234","106735472.979707","112820739.257244","115474155.486311","82122563.2064308","103798624.164167","129274515.059917","106380866.829228","133526976.464361","109524790.693112","113560414.608682","60971306.0508056","141862650.691409","70364501.0899401","86907332.0471822","52","49","49","48","53","49","51","44","44","51","48","55",
"IQGA1_HUMAN","76","69","5592.47","0.857329465596765","1.04143489321049","Condition 4","Condition 3","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1","155561184.372837","142036911.402943","152819188.074473","151112802.369184","144575961.063724","151793124.190789","146639628.414651","149062222.744412","143657635.449157","168624615.862082","141749766.927633","147189917.227135","136969143.140107","92905505.6871443","132324536.447656","173927508.304519","140867813.389403","171079356.673537","146639628.414651","146735127.260605","78128386.598344","172928814.335352","93447392.4275812","113382371.846447","63","51","65","67","66","69","67","66","56","62","63","65",
"CPSM_HUMAN","76","68","4397.42","0.619978235568763","1.06017044273969","Condition 4","Condition 1","Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=1 SV=2","210633305.789186","196951887.156589","195466114.675958","215499458.659099","209891466.02105","210243607.296432","215755011.483442","212162565.295207","192140844.760426","234275069.178464","198465298.732075","206596803.88554","185459268.178151","128825067.312335","169252064.100195","248035132.01998","204508077.621903","236956326.399796","215755011.483442","208850374.329304","104496041.256978","240255016.945449","130836650.076057","159144295.218881","63","63","63","60","65","67","65","57","67","58","71","65",
"ACTN4_HUMAN","66","41","5390.26","0.751278980968131","1.07352393190689","Condition 2","Condition 3","Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2","278067401.115704","222844814.657691","260472168.751862","264645396.363233","265224482.396631","249386473.745182","256106596.306458","250831953.865059","218947784.864219","277430361.082879","243311891.636914","242011852.998623","244833914.189874","145761478.414559","225540126.353826","304601024.215441","258421888.519085","281072530.253624","256106596.306458","246916072.991373","119075029.511932","284511861.790867","160401405.32788","186424983.618912","52","46","51","54","52","56","53","51","50","54","55","53",
"EF2_HUMAN","60","55","4089.04","0.702919622404616","1.11394139359946","Condition 4","Condition 3","Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4","368414290.597327","363827910.04489","339157709.516685","343801702.739381","329394868.591711","379307069.395334","342353025.648582","344376119.604549","344779602.166809","469057202.440412","330015579.897351","349967509.273238","324382910.217141","237977689.263645","293673113.042411","395708189.979975","320946404.497714","427500321.637204","342353025.648582","338999867.339501","187508822.382401","481030040.950962","217560113.644686","269584676.845502","69","62","65","75","76","70","70","62","66","72","70","73",
"SYEP_HUMAN","58","53","3065.04","0.265648567302257","1.06745875435824","Condition 1","Condition 3","Bifunctional aminoacyl-tRNA synthetase OS=Homo sapiens GN=EPRS PE=1 SV=4","57464306.0246293","52779196.9005181","56568524.1937305","53955238.7969559","53884177.9761537","51839935.4836665","52080269.0456302","52805958.6661769","51384004.2178252","56618172.3370272","52962493.7669541","51108867.3768305","50596405.4533689","34522561.2791126","48982093.3861758","62101291.8614469","52502132.9406242","58426512.1350042","52080269.0456302","51981574.689689","27945255.6346857","58063369.7044844","34915097.5430569","39369847.5733789","35","34","35","34","34","32","40","35","32","31","33","33",
