LFQ intensity Gua_1	LFQ intensity Gua_2	LFQ intensity Gua_3	LFQ intensity RG/SDC_1	LFQ intensity RG/SDC_2	LFQ intensity RG/SDC_3	LFQ intensity RG_1	LFQ intensity RG_2	LFQ intensity RG_3	LFQ intensity SDC_1	LFQ intensity SDC_2	LFQ intensity SDC_3	LFQ intensity Urea_1	LFQ intensity Urea_2	LFQ intensity Urea_3	Only identified by site	Reverse	Protein IDs	Majority protein IDs	Protein names	Gene names
7.64909	7.78637	7.77701	7.77879	7.71852	7.79844	7.69685	7.69449	7.638	7.67665	7.84149	7.86461	7.97539	7.94099	7.83227			NP_248715.1;AAG03415.1	NP_248715.1;AAG03415.1		
6.45787	6.30161	6.45043	6.65918	6.37286	6.61039	6.49213	6.26163	6.37449	6.46043	6.18184	6.43742	6.47013	6.5975	6.42743			NP_248716.1;AAG03416.1	NP_248716.1;AAG03416.1		
6.53943	7.28972	7.20099	7.11468	7.0577	7.14495	7.31249	7.288	7.27545	7.31923	7.33029	7.4034	7.29739	7.18472	7.24005			NP_248717.1;AAG03417.1	NP_248717.1;AAG03417.1		
8.06767	8.053	8.06236	7.88092	7.84277	7.89062	7.82907	7.8827	7.82375	7.87607	7.83897	7.8805	8.17748	7.93511	7.90228			NP_248725.1;AAG03425.1	NP_248725.1;AAG03425.1		
7.86962	7.95672	7.91259	8.14473	8.08375	8.18721	7.89539	7.88073	7.83106	7.9395	7.98157	8.09065	7.67725	7.73285	7.81759			NP_248726.1;AAG03426.1	NP_248726.1;AAG03426.1		
6.43061	6.84374	6.54419	6.48772	6.98727	6.63215	6.42857	6.47589	6.36855	6.22822	6.56971	6.57405	6.22226	6.65258	6.7398			NP_248728.1;AAG03428.1	NP_248728.1;AAG03428.1		
8.20715	8.06363	8.09167	8.53011	8.48451	8.27685	7.44036	7.69256	7.62671	7.73876	7.88801	7.84009	8.32978	7.99471	7.89033			NP_248729.1;AAG03429.1	NP_248729.1;AAG03429.1		
7.26302	7.32203	7.21675	7.3751	7.37627	7.40642	7.13615	7.12281	7.16438	7.03814	7.39858	7.35934	6.5157	7.32313	6.39016			NP_248730.1;AAG03430.1;NP_251153.1;AAG05851.1	NP_248730.1;AAG03430.1;NP_251153.1;AAG05851.1		
7.55691	7.63364	7.57012	7.98152	7.91866	7.79369	8.05656	8.11681	8.12568	8.10561	8.12688	8.08842	7.42815	7.86032	7.91797			NP_248741.1;AAG03441.1	NP_248741.1;AAG03441.1		
6.12278	7.10582	7.14411	7.20388	7.22513	7.25633	7.13919	7.20943	7.26923	7.34514	7.33754	7.42925	7.24724	7.19535	7.03703			NP_248742.1;AAG03442.1	NP_248742.1;AAG03442.1		
8.30623	8.23009	8.23712	7.93936	7.9649	8.01862	7.89056	7.9772	7.96893	8.05327	8.12616	8.19521	8.44629	8.04766	8.05979			NP_248745.1;AAG03445.1	NP_248745.1;AAG03445.1		
